"var","cor"
"Boron&Calcium&Manganese",0.754739436363559
"Calcium&Phosphorus&Local_P.A.L",0.754557787030782
"Magnesium&Potassium&LeafShape",0.754173299706258
"Calcium&Magnesium&LeafPhoto_mass",0.753685982308589
"Calcium&TRY_SLA_pet_inc&LeafShape",0.753650850079776
"Carbon&Copper&Magnesium",0.753031281041243
"Boron&Calcium&Local_SeedDryMass",0.75302766021046
"Boron&Magnesium&Local_P.A.L",0.752743413412245
"Boron&Calcium&Try_SeedDryMass",0.752522602642949
"Boron&Phosphorus&StomataConductance_area",0.752441570916119
"Calcium&FineRootDiameter&StomataConductance_area",0.752211611536721
"Calcium&Magnesium&Sodium",0.752190699503998
"Boron&Calcium&TRY_SLA_pet_undef",0.751601087495957
"Boron&Carbon&Magnesium",0.75151264865845
"Magnesium&LeafNitrogen&LeafShape",0.751244277748552
"Calcium&TRY_SLA_pet_ex&LeafPhoto_area",0.751244106236205
"Calcium&Sulfur&StomataConductance_mass",0.750611987334245
"Calcium&Local_LeafBladeArea&LeafShape",0.750080304628303
"Iron&LeafPhoto_mass&LeafShape",0.749844466275761
"Copper&LeafPhoto_area&LeafWater",0.74983304403084
"Calcium&Carbon&Try_SeedDryMass",0.749819442561259
"Nitrogen&Potassium&TRY_SLA_pet_ex",0.749779057413285
"Boron&LeafPhoto_area&LeafWater",0.749553807162011
"Calcium&Magnesium&LeafDryMassSingle",0.749271905270979
"Phosphorus&LeafPhoto_mass&LeafShape",0.749099056641733
"Boron&Carbon&TRY_SLA_pet_inc",0.748708819209238
"Boron&Sulfur&Local_LeafBladeArea",0.74868777868398
"Calcium&LeafDryMassSingle&LeafShape",0.74839791168657
"Calcium&Magnesium&Local_LeafBladeArea",0.748298915245441
"Boron&Calcium&Zinc",0.747960449114895
"Calcium&Carbon&Potassium",0.747854171480854
"Carbon&LDMC&LeafShape",0.747718956072502
"Calcium&Manganese&Local_SeedDryMass",0.747449889814417
"Calcium&Local_SeedDryMass&LDMC",0.747222319889205
"Boron&Copper&Local_SLA_pet_ex",0.747097214562356
"Boron&Calcium&StomataConductance_mass",0.746991023914563
"Calcium&Zinc&LeafWater",0.746776295913467
"Calcium&Phosphorus&StomataConductance_area",0.746670179945512
"Calcium&Nitrogen&StomataConductance_area",0.746480581009819
"Aluminum&Boron&Calcium",0.746351603153293
"Boron&Local_SLA_pet_ex&StomataConductance_mass",0.746280942190058
"Boron&Iron&Sulfur",0.745628578363754
"Calcium&Local_P.A.L&LDMC",0.745102868341057
"Calcium&Magnesium&Local_SLA_pet_ex",0.744752236070745
"Boron&Copper&Zinc",0.744567676531246
"Boron&Sulfur&TRY_SLA_pet_inc",0.744546299932785
"Phosphorus&Potassium&LeafShape",0.744521539843615
"Calcium&Copper&LeafPhoto_mass",0.744298063407364
"Calcium&Phosphorus&Local_LeafBladeArea",0.74424624690478
"Boron&Magnesium&LeafFreshMass",0.74415245874571
"Boron&LeafFreshMass&LeafShape",0.744086559947838
"Calcium&Copper&LDMC",0.743994392491028
"Boron&Carbon&LeafWater",0.743951385945293
"Calcium&Local_SLA_pet_ex&FineRootDiameter",0.743938116758712
"Boron&Calcium&Copper",0.743919355001306
"Copper&Nitrogen&Potassium",0.74389563498999
"Calcium&LeafWater&LeafletNum",0.743785919550245
"Boron&Copper&StomataConductance_mass",0.743772171099101
"Boron&Calcium&StomataConductance_area",0.743757485923195
"Calcium&Copper&Local_SeedDryMass",0.743554185669259
"Boron&FineRootTissueDensity&LeafNitrogen",0.743250931829044
"Calcium&Copper&StomataConductance_area",0.743025182792782
"Calcium&Local_P.A.L&LeafShape",0.743014398570617
"Calcium&LeafPhoto_mass&StomataConductance_area",0.742950478738677
"Manganese&LeafPhoto_area&LeafWater",0.742725665539626
"Calcium&Manganese&Sulfur",0.742477644838186
"Boron&Copper&Try_SeedDryMass",0.742457966466757
"Boron&Carbon&Try_SeedDryMass",0.742299077473599
"Nitrogen&FineRootTissueDensity&LeafWater",0.74222735602921
"Boron&Manganese&Try_SeedDryMass",0.742142158043967
"Copper&Magnesium&Manganese",0.742001510044108
"Calcium&Carbon&TRY_SLA_pet_inc",0.741996857311423
"Calcium&Manganese&Local_LeafBladeArea",0.741830940825316
"Calcium&Copper&StomataConductance_mass",0.741513156911215
"Calcium&Iron&Nitrogen",0.741460288005052
"Calcium&Local_SLA_pet_ex&LDMC",0.741329212452827
"Nitrogen&Phosphorus&Potassium",0.741117714522624
"Calcium&Magnesium&Local_P.A.L",0.740918614877325
"Calcium&LeafDelta15Nitrogen&StomataConductance_mass",0.740640098692971
"Boron&Carbon&StomataConductance_mass",0.740246840808294
"Calcium&Nitrogen&Phosphorus",0.739644715265087
"Potassium&LDMC&LeafShape",0.739619628439698
"Calcium&FineRootDiameter&Try_SeedDryMass",0.739216495741715
"Calcium&LeafNitrogen&LeafDelta15Nitrogen",0.739128413485377
"Calcium&TRY_SLA_pet_ex&LeafPhoto_mass",0.739095567881027
"Calcium&Local_SeedDryMass&FineRootDiameter",0.739023578750308
"Calcium&FineRootDiameter&TRY_SLA_pet_undef",0.739022445883611
"Boron&Calcium&LeafPhoto_mass",0.738608619173152
"Calcium&Carbon&Zinc",0.738189843850478
"Nitrogen&LDMC&LeafPhoto_area",0.737812449915859
"FineRootTissueDensity&LeafShape&LeafWater",0.737773381401828
"Boron&Local_SeedDryMass&LeafNitrogen",0.73771123930307
"Calcium&Nitrogen&LeafletNum",0.737367211965854
"Calcium&Manganese&Phosphorus",0.73711286735136
"Boron&LeafDelta15Nitrogen&LeafShape",0.736922444036758
"Calcium&Magnesium&Manganese",0.736687327998961
"Calcium&Copper&PlantHeightVeg",0.736355967304927
"Boron&LeafDelta13Carbon&LeafShape",0.736167764609688
"Boron&Calcium&TRY_SLA_pet_inc",0.735831909698
"Calcium&Manganese&FineRootDiameter",0.735697199613879
"Boron&Magnesium&Local_LeafBladeArea",0.735421721958648
"Boron&Magnesium&LeafDryMassSingle",0.735288981226282
"Copper&Potassium&LeafShape",0.734794612972533
"Boron&FineRootDiameter&StomataConductance_mass",0.733635308096535
"Calcium&Iron&Potassium",0.733472138758618
"Magnesium&LeafNitrogen&LeafPhoto_area",0.73345350053073
"Nitrogen&LDMC&LeafShape",0.733311633298657
"Calcium&Carbon&Magnesium",0.733290154394278
"Calcium&Manganese&Try_SeedDryMass",0.733237573949112
"Calcium&Carbon&LeafWater",0.733199799784734
"Boron&Local_SeedDryMass&FineRootTissueDensity",0.73310772744747
"Calcium&Copper&LeafletNum",0.733049959529344
"Calcium&Manganese&Zinc",0.732780282779995
"Boron&Magnesium&PlantHeightVeg",0.73264729012284
"Calcium&Manganese&LDMC",0.732457672537484
"Magnesium&Nitrogen&Local_SeedDryMass",0.732356363111654
"Boron&Copper&Local_LeafBladeArea",0.732241629940742
"Calcium&Copper&LeafDelta15Nitrogen",0.732189539712084
"Calcium&Copper&TRY_SLA_pet_inc",0.732045706969481
"Calcium&Manganese&LeafletNum",0.731964681027564
"Boron&Calcium&Local_SLA_pet_ex",0.731958517418793
"Calcium&FineRootDiameter&StomataConductance_mass",0.731930936857329
"Calcium&Local_LeafBladeArea&LeafNitrogen",0.731628193380266
"Calcium&LeafDryMassSingle&LeafPhoto_mass",0.731228150598491
"Boron&Local_SLA_pet_ex&StomataConductance_area",0.731157930497909
"Calcium&Local_SLA_pet_ex&LeafNitrogen",0.731029375553795
"Calcium&FineRootDiameter&LeafPhoto_mass",0.73092947187233
"Nitrogen&Potassium&LeafShape",0.730721634111085
"Boron&Local_SeedDryMass&LeafletNum",0.730267558257714
"Calcium&FineRootDiameter&LeafDelta15Nitrogen",0.730190526005559
"Calcium&Manganese&LeafDryMassSingle",0.730107101226107
"Boron&Sulfur&LeafDryMassSingle",0.729733533930703
"Manganese&LDMC&StomataConductance_area",0.729621047280968
"Nitrogen&Potassium&Local_SLA_pet_ex",0.729614093710602
"Nitrogen&FineRootDiameter&TRY_SLA_pet_ex",0.729468878056349
"Boron&Copper&LeafDryMassSingle",0.729295913912198
"Calcium&Carbon&FineRootTissueDensity",0.729218847580586
"Calcium&Copper&Try_SeedDryMass",0.729080414293062
"Calcium&Carbon&Sulfur",0.728896337383441
"Calcium&Copper&LeafDryMassSingle",0.728821694920011
"Calcium&LeafFreshMass&LeafShape",0.728775387891526
"Boron&Copper&Local_P.A.L",0.728582189405876
"Calcium&Local_SLA_pet_ex&StomataConductance_mass",0.728566844886562
"Calcium&TRY_SLA_pet_inc&LeafPhoto_mass",0.728477948255278
"Carbon&Magnesium&LeafDelta15Nitrogen",0.728324263228663
"Calcium&LeafDelta15Nitrogen&LeafletNum",0.728218382249835
"Aluminum&Calcium&Potassium",0.728210309581466
"Boron&Local_LeafBladeArea&Local_SLA_pet_ex",0.72794307363924
"Boron&Sulfur&Local_SLA_pet_ex",0.727890228987755
"Aluminum&Calcium&Nitrogen",0.727831846585308
"Calcium&Copper&Manganese",0.727799264261768
"Calcium&LeafDelta15Nitrogen&StomataConductance_area",0.727699205770989
"Calcium&LeafShape&StomataConductance_area",0.727681991933084
"Calcium&LDMC&LeafletNum",0.727585620686491
"Boron&Iron&LeafWater",0.727331557032124
"FineRootTissueDensity&LDMC&LeafShape",0.727320752991421
"Aluminum&Calcium&Local_P.A.L",0.727303190240582
"Copper&LDMC&LeafPhoto_area",0.727043880111386
"Boron&FineRootTissueDensity&Try_SeedDryMass",0.726811562050944
"Boron&Copper&Phosphorus",0.726336649598019
"Calcium&Zinc&LeafShape",0.726184529472975
"Calcium&LeafDryMassSingle&LeafWater",0.725874901820786
"Boron&LeafNitrogen&Try_SeedDryMass",0.7258723100796
"Boron&Sulfur&LeafDelta15Nitrogen",0.725794171625621
"Boron&Iron&LeafNitrogen",0.725785283656056
"Calcium&Local_LeafBladeArea&LeafWater",0.72576187804095
"Calcium&LeafWater&PlantHeightVeg",0.725435301607773
"Calcium&LeafPhoto_mass&LeafletNum",0.725331720485941
"Calcium&Zinc&TRY_SLA_pet_ex",0.724569495382886
"Calcium&Iron&TRY_SLA_pet_inc",0.724512280384705
"Magnesium&FineRootTissueDensity&LeafNitrogen",0.724121204943669
"Potassium&LeafPhoto_mass&LeafShape",0.724078658385792
"Boron&Sulfur&LeafNitrogen",0.723979185066535
"Boron&Copper&LeafFreshMass",0.723977418004911
"Calcium&Local_SeedDryMass&LeafDelta15Nitrogen",0.7237593186367
"Calcium&Copper&Local_P.A.L",0.723270093130343
"Copper&LeafDelta15Nitrogen&LeafWater",0.722819689059463
"Calcium&Potassium&LeafWater",0.72262880829453
"Calcium&Copper&Local_LeafBladeArea",0.722422084237829
"Carbon&Nitrogen&LDMC",0.721995031612183
